Salary,Satisfaction
36.9,40.2
36.6,39.4
37.3,40
39.8,50.3
39.6,49.4
40.3,50.1
50.9,43.3
50.6,42.5
51.4,43.2
52.9,64.2
52.7,63.4
53.6,63.6
54,62.9
54.4,63
54.9,43.2
54.6,42.4
55.3,43
56.9,48.3
56.6,47.4
57.4,48.4
57.9,50.3
58,49.8
58.4,50.8
58.4,49.4
59.9,67.2
59.9,65.4
59.6,64.5
60.6,67.1
60.5,65.6
60.6,64.1
61.2,67.1
61.2,64
61.9,69.3
62,68.8
62.4,69.1
62.9,61.2
62.6,60.4
63.4,61.5
63.9,63.2
64.4,63.1
65.9,53.2
65.6,52.4
66.4,53.1
67,58.2
66.7,57.4
67.4,58
69.9,71.2
69.8,70.4
69.9,65.2
69.7,64.4
70.4,71
70.4,65
75,78.3
74.7,77.5
75,71.3
74.7,70.4
75.4,78.1
75.4,71.1
77,77.3
76.7,76.5
77,66.3
76.7,65.5
77.4,77.1
77.4,66
77.9,81.3
77.6,80.5
78.4,81.2
82,82.2
81.8,81.4
82,72.2
81.8,71.4
82.4,82
82.4,72
82.9,68.3
82.7,67.4
83.4,68.2
84.9,85.3
84.6,84.5
85,74.3
84.7,73.5
85.4,85.2
85.4,74.1
90,81.2
89.7,80.4
90.4,81
